State,County,Year,Total Households ,Average Household Income,Median Household Income,Total Shelter,Mortgage Interest,   Mortgage Interest,   Mortgage Interest,Property Taxes,   Property Taxes,   Property Taxes,Rental Costs,Property Management Fees,Housing For Someone At School,Lodging Away From Home,Electricity,Fuel Oil ,Natural Gas,Septic Tank Cleaning,Trash And Garbage Collection,Water And Sewage,Cellular Phone Service
Idaho,Clark,2027,,,,"$15,581.34","$3,804.65","$3,702.68",$101.97,"$2,329.22","$2,181.87",$147.35,$176.91,$121.67,$37.60,$186.13,"$1,579.89",$30.23,$391.88,$7.74,$298.02,$663.03,"$1,458.51"
Idaho,Clearwater,2027,,,,"$15,990.17","$3,663.11","$3,573.18",$89.93,"$2,412.59","$2,256.45",$156.14,$200.80,$139.62,$36.43,$206.19,"$1,606.45",$32.37,$397.82,$8.47,$301.82,$643.39,"$1,443.71"
Idaho,Custer,2027,,,,"$16,350.08","$3,943.90","$3,834.93",$108.97,"$2,734.10","$2,555.90",$178.21,$247.47,$159.40,$39.71,$226.22,"$1,667.30",$35.67,$412.15,$9.61,$318.77,$673.15,"$1,456.79"
Idaho,Elmore,2027,,,,"$16,912.62","$4,045.32","$3,947.76",$97.56,"$2,377.16","$2,244.26",$132.90,$174.18,$125.62,$43.76,$217.83,"$1,641.03",$31.16,$414.31,$7.60,$303.71,$663.98,"$1,537.37"
Idaho,Franklin,2027,,,,"$16,531.54","$4,018.92","$3,920.23",$98.69,"$2,320.47","$2,183.56",$136.91,$180.06,$124.25,$45.50,$233.99,"$1,708.53",$32.25,$470.40,$8.07,$313.12,$691.42,"$1,668.55"
Idaho,Fremont,2027,,,,"$18,190.66","$4,440.63","$4,327.25",$113.38,"$2,634.77","$2,481.51",$153.26,$211.51,$140.13,$47.73,$238.94,"$1,725.53",$35.09,$441.10,$8.21,$322.06,$700.45,"$1,620.92"
Idaho,Gem,2027,,,,"$17,361.88","$4,384.06","$4,268.56",$115.50,"$2,754.17","$2,587.73",$166.43,$225.14,$149.12,$50.09,$237.25,"$1,717.89",$35.04,$431.89,$8.82,$323.47,$700.62,"$1,566.47"
Idaho,Gooding,2027,,,,"$15,626.03","$3,658.95","$3,577.10",$81.85,"$2,284.63","$2,148.59",$136.05,$172.77,$126.62,$35.82,$203.46,"$1,601.05",$29.90,$394.65,$7.77,$295.11,$638.92,"$1,468.27"
Idaho,Idaho,2027,,,,"$15,808.28","$3,688.54","$3,596.44",$92.11,"$2,499.93","$2,329.26",$170.67,$212.11,$147.33,$36.89,$205.40,"$1,604.68",$32.67,$395.23,$8.95,$305.05,$640.82,"$1,419.39"
Idaho,Jefferson,2027,,,,"$18,299.67","$4,638.96","$4,519.31",$119.65,"$2,715.73","$2,567.83",$147.90,$208.37,$140.27,$53.77,$248.89,"$1,753.00",$34.81,$450.02,$8.31,$326.20,$719.88,"$1,642.59"
Idaho,Jerome,2027,,,,"$17,088.14","$4,225.49","$4,121.54",$103.95,"$2,526.90","$2,385.36",$141.54,$191.57,$133.00,$44.74,$230.29,"$1,690.31",$32.57,$427.41,$7.99,$311.87,$685.87,"$1,572.85"
Idaho,Kootenai,2027,,,,"$17,899.95","$4,501.70","$4,265.32",$236.39,"$2,851.57","$2,600.94",$250.63,$380.40,$152.90,$60.32,$342.86,"$1,587.20",$33.19,$438.26,$8.24,$329.13,$715.31,"$1,482.84"
Idaho,Latah,2027,,,,"$16,766.50","$3,711.88","$3,613.73",$98.15,"$2,273.76","$2,135.12",$138.64,$197.08,$123.22,$40.20,$206.60,"$1,556.85",$29.09,$396.18,$6.94,$278.97,$611.26,"$1,456.88"
Idaho,Lemhi,2027,,,,"$15,461.61","$3,599.41","$3,504.58",$94.83,"$2,557.88","$2,383.53",$174.34,$222.99,$151.31,$36.34,$204.10,"$1,618.09",$33.84,$397.51,$9.24,$307.21,$648.23,"$1,403.06"
Idaho,Lewis,2027,,,,"$16,613.67","$3,900.68","$3,791.10",$109.58,"$2,653.92","$2,482.85",$171.07,$231.82,$148.22,$41.33,$218.84,"$1,656.20",$34.70,$419.18,$9.19,$313.31,$672.25,"$1,483.75"
Idaho,Lincoln,2027,,,,"$16,943.31","$4,277.76","$4,166.70",$111.06,"$2,505.50","$2,361.07",$144.42,$176.85,$130.47,$44.64,$216.92,"$1,691.90",$32.18,$424.02,$7.77,$314.55,$687.18,"$1,566.83"
Idaho,Madison,2027,,,,"$16,811.29","$3,875.73","$3,781.14",$94.59,"$2,242.12","$2,120.86",$121.26,$165.25,$118.39,$41.76,$208.88,"$1,624.52",$29.66,$408.11,$6.98,$290.82,$637.43,"$1,532.87"
Idaho,Minidoka,2027,,,,"$16,116.09","$3,954.02","$3,852.62",$101.40,"$2,403.01","$2,259.16",$143.85,$183.40,$125.04,$40.42,$217.95,"$1,636.27",$30.72,$404.46,$7.82,$303.26,$659.80,"$1,512.60"
Idaho,Nez Perce,2027,,,,"$17,024.44","$4,144.83","$4,028.84",$116.00,"$2,620.93","$2,450.74",$170.20,$234.96,$150.86,$47.68,$232.49,"$1,632.04",$34.49,$414.73,$8.92,$313.27,$666.86,"$1,482.57"
Idaho,Oneida,2027,,,,"$16,414.18","$4,006.25","$3,902.52",$103.73,"$2,386.31","$2,235.21",$151.11,$192.17,$127.87,$44.62,$233.17,"$1,715.87",$33.12,$467.48,$8.25,$314.36,$689.01,"$1,648.96"
Idaho,Owyhee,2027,,,,"$16,850.80","$4,115.96","$4,009.31",$106.65,"$2,497.53","$2,356.34",$141.19,$189.68,$135.25,$47.05,$218.60,"$1,655.87",$32.49,$418.76,$8.26,$310.83,$676.44,"$1,534.70"
Idaho,Payette,2027,,,,"$16,280.20","$3,976.29","$3,881.62",$94.67,"$2,446.45","$2,300.51",$145.94,$180.33,$131.11,$41.51,$215.15,"$1,646.15",$31.12,$410.31,$7.88,$306.93,$668.46,"$1,520.82"
Idaho,Power,2027,,,,"$15,631.73","$3,667.69","$3,575.31",$92.38,"$2,335.40","$2,195.06",$140.34,$188.46,$125.17,$36.16,$206.55,"$1,610.31",$29.98,$397.69,$8.15,$294.54,$648.17,"$1,459.52"
Idaho,Shoshone,2027,,,,"$15,216.30","$3,479.76","$3,395.36",$84.40,"$2,280.99","$2,131.70",$149.28,$177.62,$131.23,$34.93,$188.52,"$1,565.56",$30.33,$385.69,$8.18,$293.89,$624.81,"$1,407.74"
Idaho,Teton,2027,,,,"$18,959.18","$4,967.01","$4,837.12",$129.89,"$2,863.05","$2,709.04",$154.01,$218.06,$147.16,$60.08,$261.16,"$1,786.16",$36.52,$460.49,$8.53,$335.52,$740.07,"$1,685.33"
Idaho,Twin Falls,2027,,,,"$16,597.93","$3,994.87","$3,900.16",$94.71,"$2,431.93","$2,291.05",$140.88,$186.58,$130.41,$40.83,$222.84,"$1,646.61",$31.47,$413.25,$7.93,$303.81,$664.59,"$1,518.87"
Idaho,Valley,2027,,,,"$16,522.23","$4,062.91","$3,955.01",$107.90,"$2,721.88","$2,537.25",$184.63,$233.43,$157.90,$42.60,$223.58,"$1,683.05",$34.98,$414.22,$9.46,$318.51,$677.72,"$1,495.93"
Idaho,Washington,2027,,,,"$15,082.68","$3,459.51","$3,373.72",$85.78,"$2,475.30","$2,305.69",$169.61,$193.78,$144.20,$32.89,$202.68,"$1,583.86",$30.18,$391.91,$8.79,$301.65,$643.68,"$1,387.32"
Illinois,Adams,2022,"26,929","$75,553","$57,873","$11,685.21","$2,514.09","$2,416.15",$97.94,"$2,834.58","$2,600.00",$234.58,$195.80,$96.57,$51.77,$291.70,"$1,237.39",$51.87,$646.12,$6.96,$202.98,$438.85,"$1,124.35"
Illinois,Alexander,2022,"2,625","$51,661","$38,979","$9,602.00","$2,166.28","$2,082.60",$83.69,"$2,399.22","$2,216.20",$183.02,$142.70,$86.24,$40.80,$235.25,"$1,166.95",$43.64,$618.46,$6.18,$178.60,$398.63,"$1,043.23"
Illinois,Bond,2022,"6,158","$69,633","$54,551","$11,932.25","$2,566.33","$2,464.71",$101.63,"$2,850.48","$2,618.55",$231.93,$192.29,$94.43,$56.09,$293.27,"$1,248.79",$53.06,$652.08,$7.01,$200.91,$441.45,"$1,133.03"
Illinois,Boone,2022,"18,459","$97,684","$71,801","$12,281.29","$2,725.58","$2,621.25",$104.33,"$2,880.90","$2,653.72",$227.18,$190.49,$94.00,$64.12,$302.82,"$1,287.26",$55.66,$658.24,$7.07,$198.84,$449.74,"$1,179.17"
Illinois,Brown,2022,"1,995","$77,525","$66,878","$12,175.80","$2,626.49","$2,526.26",$100.23,"$2,899.49","$2,658.78",$240.71,$202.16,$96.98,$56.71,$303.02,"$1,279.84",$54.21,$665.78,$7.21,$208.84,$455.92,"$1,163.90"
Illinois,Bureau,2022,"13,721","$74,700","$59,910","$11,866.18","$2,563.83","$2,460.59",$103.25,"$2,920.47","$2,680.87",$239.60,$202.88,$99.13,$55.86,$297.28,"$1,253.84",$53.62,$658.20,$7.30,$206.71,$446.20,"$1,132.16"
Illinois,Calhoun,2022,"2,005","$73,908","$64,819","$12,467.18","$2,968.05","$2,853.44",$114.61,"$3,188.80","$2,939.35",$249.45,$221.55,$111.86,$68.14,$332.62,"$1,444.57",$62.95,$717.05,$7.95,$208.46,$502.09,"$1,283.33"
Illinois,Carroll,2022,"6,450","$72,980","$57,779","$11,699.12","$2,499.35","$2,397.77",$101.59,"$2,950.29","$2,710.28",$240.01,$211.01,$102.18,$52.03,$300.38,"$1,279.60",$53.60,$661.12,$7.49,$209.95,$444.19,"$1,128.09"
Illinois,Cass,2022,"4,978","$65,781","$53,963","$11,702.99","$2,527.01","$2,429.95",$97.07,"$2,746.67","$2,522.85",$223.82,$176.30,$91.64,$54.24,$279.46,"$1,226.23",$51.23,$647.54,$6.77,$198.60,$433.32,"$1,125.76"
Illinois,Champaign,2022,"86,003","$80,698","$55,666","$11,188.94","$2,258.08","$2,174.51",$83.57,"$2,412.50","$2,222.63",$189.87,$149.37,$81.64,$47.64,$252.77,"$1,173.74",$46.92,$610.20,$5.84,$180.87,$404.29,"$1,094.48"
Illinois,Christian,2022,"13,481","$67,666","$53,316","$11,626.70","$2,487.41","$2,390.48",$96.94,"$2,769.75","$2,542.22",$227.53,$185.63,$93.41,$53.05,$283.78,"$1,225.07",$51.13,$646.11,$6.84,$200.40,$432.60,"$1,116.33"
Illinois,Clark,2022,"6,557","$79,173","$59,272","$11,263.13","$2,424.54","$2,331.14",$93.40,"$2,698.20","$2,475.32",$222.87,$178.75,$90.13,$50.33,$275.84,"$1,222.01",$48.56,$625.84,$6.50,$194.51,$416.91,"$1,085.76"
Illinois,Clay,2022,"5,574","$64,555","$51,048","$11,076.32","$2,355.85","$2,264.95",$90.90,"$2,694.25","$2,465.85",$228.40,$180.01,$90.20,$48.35,$273.58,"$1,184.20",$47.91,$632.85,$6.60,$198.03,$418.03,"$1,080.25"
Illinois,Clinton,2022,"14,250","$85,570","$67,719","$12,124.92","$2,606.75","$2,504.03",$102.72,"$2,846.76","$2,613.74",$233.02,$193.20,$94.56,$58.37,$294.73,"$1,258.24",$54.00,$655.87,$7.07,$201.63,$445.48,"$1,154.52"
Illinois,Coles,2022,"20,414","$69,881","$52,417","$11,400.41","$2,391.46","$2,298.80",$92.66,"$2,670.46","$2,449.50",$220.96,$177.81,$89.78,$49.90,$273.74,"$1,202.60",$49.29,$631.08,$6.57,$196.33,$421.36,"$1,096.03"
Illinois,Cook,2022,"1,999,256","$105,013","$70,720","$12,595.35","$2,710.08","$2,611.38",$98.70,"$2,716.67","$2,510.74",$205.94,$172.30,$92.42,$59.22,$298.26,"$1,287.37",$54.58,$659.13,$6.61,$191.76,$449.74,"$1,197.00"
Illinois,Crawford,2022,"7,437","$73,192","$53,699","$11,236.73","$2,395.67","$2,301.05",$94.62,"$2,742.99","$2,516.80",$226.19,$184.32,$91.89,$51.84,$279.70,"$1,201.89",$49.24,$632.03,$6.80,$196.98,$419.58,"$1,073.03"
Illinois,Cumberland,2022,"4,331","$69,866","$59,468","$11,826.41","$2,561.63","$2,461.88",$99.74,"$2,846.77","$2,612.90",$233.87,$193.03,$93.78,$55.61,$290.92,"$1,250.05",$53.32,$656.69,$7.08,$203.87,$445.70,"$1,143.74"
Illinois,DeKalb,2022,"38,429","$82,862","$64,475","$12,910.56","$2,795.33","$2,686.72",$108.60,"$2,840.40","$2,613.35",$227.05,$185.30,$93.50,$68.81,$312.29,"$1,317.57",$56.94,$665.27,$6.85,$197.97,$462.06,"$1,221.06"
Illinois,De Witt,2022,"6,569","$75,786","$58,271","$12,178.94","$2,655.46","$2,551.58",$103.88,"$2,844.27","$2,613.30",$230.97,$185.23,$95.62,$59.99,$299.61,"$1,252.39",$51.93,$655.35,$6.96,$202.53,$440.17,"$1,138.83"
Illinois,Douglas,2022,"7,834","$75,803","$65,985","$11,884.51","$2,495.45","$2,402.34",$93.11,"$2,607.51","$2,399.18",$208.34,$175.01,$89.03,$52.16,$278.39,"$1,238.29",$50.30,$639.27,$6.41,$193.54,$428.92,"$1,147.47"
Illinois,DuPage,2022,"342,910","$135,160","$98,312","$13,469.79","$2,929.72","$2,816.74",$112.98,"$2,987.88","$2,756.33",$231.55,$200.45,$101.68,$69.64,$328.45,"$1,363.63",$60.79,$688.41,$7.38,$203.34,$483.05,"$1,256.87"
Illinois,Edgar,2022,"7,468","$69,302","$55,381","$11,368.60","$2,416.78","$2,326.73",$90.05,"$2,614.70","$2,403.28",$211.42,$172.08,$89.98,$49.64,$270.69,"$1,205.93",$48.34,$624.75,$6.58,$190.67,$414.32,"$1,095.87"
Illinois,Edwards,2022,"2,730","$68,816","$55,134","$11,261.07","$2,427.39","$2,334.96",$92.43,"$2,788.25","$2,554.63",$233.62,$188.95,$93.93,$49.08,$282.98,"$1,210.27",$50.16,$638.12,$6.81,$203.69,$428.86,"$1,087.15"
Illinois,Effingham,2022,"13,822","$81,986","$63,428","$12,120.10","$2,643.37","$2,541.52",$101.85,"$2,907.91","$2,668.38",$239.53,$196.62,$95.37,$56.24,$301.11,"$1,260.49",$53.87,$656.22,$7.02,$204.78,$446.77,"$1,151.76"
Illinois,Fayette,2022,"8,072","$63,488","$51,036","$10,977.01","$2,339.19","$2,248.31",$90.88,"$2,699.86","$2,474.22",$225.64,$176.92,$88.73,$47.90,$270.19,"$1,177.12",$48.14,$628.75,$6.60,$197.07,$415.07,"$1,068.84"
Illinois,Ford,2022,"5,490","$67,335","$56,542","$11,491.77","$2,388.41","$2,296.42",$91.99,"$2,622.22","$2,405.37",$216.85,$173.20,$87.94,$48.79,$269.20,"$1,212.95",$50.93,$631.18,$6.40,$192.24,$428.23,"$1,119.17"
Illinois,Franklin,2022,"16,161","$57,000","$45,658","$10,634.35","$2,253.95","$2,170.09",$83.86,"$2,589.79","$2,376.82",$212.97,$167.60,$85.68,$44.52,$257.67,"$1,142.37",$45.84,$619.72,$6.37,$192.38,$402.94,"$1,039.47"
Illinois,Fulton,2022,"13,809","$67,424","$54,174","$11,427.18","$2,443.49","$2,351.43",$92.06,"$2,714.40","$2,494.41",$220.00,$179.03,$91.64,$49.92,$278.52,"$1,214.11",$49.38,$640.24,$6.68,$201.49,$424.80,"$1,103.33"
Illinois,Gallatin,2022,"2,188","$65,012","$43,374","$10,410.23","$2,176.89","$2,093.94",$82.95,"$2,641.49","$2,424.98",$216.50,$174.83,$91.09,$42.23,$257.43,"$1,133.97",$45.74,$618.82,$6.59,$195.08,$406.75,"$1,015.93"
Illinois,Greene,2022,"5,215","$67,325","$55,280","$11,476.09","$2,472.37","$2,375.51",$96.85,"$2,830.22","$2,597.43",$232.79,$195.06,$93.45,$52.22,$286.34,"$1,219.52",$50.37,$645.67,$7.02,$202.23,$428.60,"$1,095.69"
Illinois,Grundy,2022,"19,823","$100,668","$87,596","$14,243.76","$3,110.61","$2,986.57",$124.04,"$3,142.46","$2,886.52",$255.93,$213.61,$102.19,$83.53,$355.68,"$1,428.81",$65.65,$705.27,$7.61,$209.78,$509.55,"$1,307.87"
Illinois,Hamilton,2022,"3,393","$66,316","$52,650","$10,930.67","$2,339.14","$2,250.79",$88.35,"$2,674.51","$2,452.88",$221.63,$178.04,$89.95,$46.11,$268.46,"$1,174.40",$47.95,$627.53,$6.56,$198.17,$415.41,"$1,060.65"
Illinois,Hancock,2022,"7,525","$67,166","$55,648","$11,364.14","$2,383.02","$2,288.06",$94.96,"$2,804.21","$2,569.46",$234.75,$194.54,$94.80,$48.35,$281.81,"$1,222.90",$50.76,$642.43,$6.94,$202.76,$431.42,"$1,101.50"
Illinois,Hardin,2022,"1,741","$60,038","$47,168","$10,330.71","$2,068.19","$1,984.00",$84.19,"$2,653.42","$2,428.66",$224.76,$183.57,$91.12,$42.62,$258.50,"$1,147.33",$45.69,$608.32,$6.55,$195.12,$408.71,"$1,011.67"
Illinois,Henderson,2022,"2,953","$66,885","$57,548","$11,139.31","$2,400.40","$2,303.39",$97.01,"$2,821.34","$2,591.99",$229.35,$200.69,$97.94,$51.45,$293.79,"$1,278.32",$52.00,$638.22,$7.20,$200.33,$434.38,"$1,122.68"
Illinois,Henry,2022,"19,794","$81,388","$66,281","$12,181.05","$2,618.12","$2,515.64",$102.48,"$2,919.04","$2,683.24",$235.80,$210.34,$101.07,$56.38,$305.40,"$1,278.55",$55.22,$658.61,$7.36,$205.62,$451.74,"$1,146.31"
Illinois,Iroquois,2022,"11,195","$71,385","$54,248","$11,286.87","$2,426.50","$2,330.51",$95.99,"$2,823.47","$2,590.44",$233.03,$194.37,$95.29,$51.02,$284.07,"$1,216.72",$50.97,$641.29,$7.02,$199.19,$430.51,"$1,099.71"
Illinois,Jackson,2022,"23,889","$62,284","$39,536","$10,576.37","$2,140.67","$2,056.77",$83.89,"$2,416.06","$2,221.93",$194.13,$157.30,$83.83,$44.40,$249.96,"$1,123.38",$44.56,$596.96,$5.92,$181.60,$388.78,"$1,030.51"
Illinois,Jasper,2022,"3,842","$68,365","$61,529","$11,791.30","$2,556.33","$2,455.30",$101.02,"$2,885.69","$2,648.11",$237.58,$193.08,$94.84,$54.81,$289.52,"$1,246.92",$53.41,$653.01,$7.05,$204.67,$443.40,"$1,131.09"
Illinois,Jefferson,2022,"15,029","$72,906","$51,837","$11,051.52","$2,354.34","$2,267.11",$87.22,"$2,677.75","$2,458.16",$219.59,$179.04,$89.36,$47.36,$272.59,"$1,188.52",$48.04,$630.81,$6.63,$195.98,$416.43,"$1,074.29"
Illinois,Jersey,2022,"8,724","$79,160","$65,283","$12,595.22","$3,005.21","$2,887.29",$117.91,"$3,177.86","$2,928.50",$249.36,$217.54,$110.81,$70.04,$333.64,"$1,436.35",$62.67,$720.34,$7.88,$207.46,$500.49,"$1,293.82"
Illinois,Jo Daviess,2022,"9,572","$78,305","$62,894","$11,687.23","$2,661.51","$2,556.86",$104.65,"$2,980.43","$2,746.70",$233.74,$214.11,$110.79,$53.04,$299.12,"$1,351.80",$58.45,$679.42,$7.83,$204.16,$465.09,"$1,184.65"
Illinois,Johnson,2022,"4,579","$70,129","$59,009","$11,762.38","$2,509.00","$2,409.25",$99.75,"$2,962.00","$2,717.30",$244.70,$206.03,$100.27,$52.67,$298.78,"$1,253.92",$53.47,$652.83,$7.17,$206.52,$442.58,"$1,115.91"
Illinois,Kane,2022,"178,210","$116,141","$85,412","$13,126.16","$2,856.66","$2,746.62",$110.04,"$2,906.97","$2,680.14",$226.83,$191.92,$97.05,$68.98,$320.45,"$1,336.50",$58.55,$680.39,$7.13,$199.55,$472.26,"$1,237.37"
Illinois,Kankakee,2022,"40,541","$80,075","$64,754","$12,110.55","$2,593.74","$2,489.70",$104.04,"$2,820.28","$2,592.26",$228.02,$190.29,$95.57,$59.85,$297.35,"$1,294.65",$53.76,$654.20,$7.08,$198.02,$444.36,"$1,163.56"
Illinois,Kendall,2022,"43,509","$129,995","$110,704","$14,800.13","$3,209.94","$3,082.56",$127.38,"$3,149.71","$2,888.14",$261.57,$208.04,$100.01,$86.49,$369.05,"$1,467.88",$67.13,$712.19,$7.39,$209.43,$522.43,"$1,348.25"
Illinois,Knox,2022,"20,311","$60,407","$45,978","$10,970.94","$2,315.41","$2,226.55",$88.86,"$2,599.28","$2,389.68",$209.60,$171.55,$89.37,$46.24,$265.81,"$1,165.05",$46.98,$620.65,$6.40,$190.92,$407.69,"$1,060.87"
Illinois,Lake,2022,"245,903","$140,723","$94,144","$13,260.18","$2,893.56","$2,779.76",$113.80,"$2,964.66","$2,734.63",$230.03,$198.88,$99.68,$71.33,$326.99,"$1,346.59",$59.92,$684.30,$7.35,$200.91,$478.26,"$1,243.79"
Illinois,LaSalle,2022,"44,053","$76,656","$61,477","$11,958.96","$2,539.57","$2,438.22",$101.35,"$2,841.41","$2,607.49",$233.93,$195.13,$95.43,$56.99,$289.64,"$1,251.16",$53.92,$657.72,$7.20,$204.96,$446.39,"$1,140.81"
Illinois,Lawrence,2022,"5,958","$63,644","$50,110","$10,892.56","$2,307.87","$2,216.52",$91.35,"$2,661.41","$2,436.58",$224.84,$174.68,$88.96,$46.37,$266.39,"$1,164.00",$47.12,$618.11,$6.51,$194.72,$410.42,"$1,044.70"
Illinois,Lee,2022,"13,220","$76,505","$60,600","$11,974.88","$2,592.32","$2,488.32",$104.00,"$2,928.41","$2,688.31",$240.10,$202.65,$98.79,$56.70,$297.34,"$1,252.92",$53.96,$659.87,$7.33,$207.42,$447.63,"$1,136.26"
Illinois,Livingston,2022,"13,976","$70,397","$57,037","$11,952.52","$2,581.19","$2,479.19",$102.00,"$2,846.53","$2,616.94",$229.59,$191.10,$96.43,$56.76,$292.54,"$1,242.95",$53.14,$656.13,$7.09,$202.62,$442.35,"$1,135.12"
Illinois,Logan,2022,"10,585","$69,411","$56,035","$11,831.17","$2,541.76","$2,443.86",$97.89,"$2,777.92","$2,553.01",$224.92,$188.07,$94.91,$54.88,$287.80,"$1,242.02",$52.35,$652.01,$6.90,$200.30,$437.68,"$1,134.75"
Illinois,McDonough,2022,"11,821","$65,214","$51,417","$11,061.58","$2,281.67","$2,193.56",$88.11,"$2,618.46","$2,401.05",$217.41,$177.59,$90.14,$45.55,$267.29,"$1,186.12",$47.11,$620.38,$6.39,$194.36,$411.30,"$1,070.71"
Illinois,McHenry,2022,"111,631","$121,422","$93,953","$13,456.01","$2,941.29","$2,826.22",$115.08,"$3,008.58","$2,771.39",$237.19,$199.86,$99.40,$72.47,$329.06,"$1,366.08",$61.14,$690.21,$7.35,$204.40,$484.91,"$1,261.78"
Illinois,McLean,2022,"67,001","$95,162","$70,945","$12,633.56","$2,647.04","$2,545.62",$101.43,"$2,681.52","$2,465.02",$216.51,$175.84,$91.27,$59.39,$298.15,"$1,283.89",$53.98,$644.72,$6.31,$191.94,$445.05,"$1,182.84"
Illinois,Macon,2022,"43,609","$73,867","$53,128","$11,625.84","$2,500.02","$2,402.23",$97.79,"$2,755.37","$2,533.44",$221.93,$186.72,$94.48,$53.30,$285.18,"$1,219.15",$51.56,$638.16,$6.86,$196.06,$429.23,"$1,109.40"
Illinois,Macoupin,2022,"18,765","$68,996","$56,208","$11,840.95","$2,549.95","$2,449.50",$100.45,"$2,838.91","$2,610.19",$228.72,$194.06,$95.57,$55.51,$288.04,"$1,238.46",$52.34,$654.27,$7.04,$201.66,$437.38,"$1,129.84"
Illinois,Madison,2022,"107,258","$90,938","$68,554","$11,936.91","$2,759.90","$2,654.11",$105.79,"$2,853.40","$2,635.35",$218.05,$195.85,$103.78,$61.15,$305.84,"$1,381.08",$58.15,$686.06,$7.41,$197.27,$478.85,"$1,245.08"
Illinois,Marion,2022,"15,670","$65,986","$54,103","$11,112.88","$2,378.53","$2,290.20",$88.33,"$2,702.50","$2,479.26",$223.24,$178.65,$89.05,$47.84,$273.33,"$1,195.54",$48.16,$633.64,$6.63,$198.40,$418.72,"$1,088.21"
Illinois,Marshall,2022,"4,845","$73,546","$65,043","$11,956.06","$2,520.48","$2,420.60",$99.89,"$2,908.63","$2,672.39",$236.24,$208.97,$98.54,$53.83,$296.71,"$1,271.65",$55.27,$663.30,$7.47,$208.02,$453.52,"$1,141.47"
Illinois,Mason,2022,"5,627","$71,665","$53,324","$11,975.65","$2,558.07","$2,458.28",$99.78,"$2,892.02","$2,649.40",$242.62,$205.32,$98.72,$54.80,$301.20,"$1,261.43",$53.65,$658.09,$7.29,$207.71,$448.11,"$1,135.91"
Illinois,Massac,2022,"5,891","$65,723","$55,208","$10,253.74","$2,261.54","$2,184.55",$76.99,"$2,159.49","$1,994.29",$165.20,$149.14,$94.58,$46.24,$215.93,"$1,437.76",$40.43,$439.94,$6.85,$184.91,$454.09,"$1,111.32"
Illinois,Menard,2022,"5,065","$96,153","$80,131","$12,742.05","$2,744.27","$2,632.35",$111.93,"$2,985.85","$2,742.24",$243.61,$208.71,$102.03,$63.43,$313.06,"$1,304.73",$57.98,$672.18,$7.46,$207.47,$466.01,"$1,187.81"
Illinois,Mercer,2022,"6,490","$78,815","$67,704","$12,302.68","$2,627.30","$2,519.98",$107.32,"$2,967.60","$2,724.05",$243.54,$215.68,$104.19,$58.76,$311.45,"$1,293.07",$55.68,$670.02,$7.42,$208.51,$458.01,"$1,164.96"
Illinois,Monroe,2022,"13,662","$114,130","$95,211","$12,858.18","$2,989.91","$2,871.64",$118.27,"$3,103.93","$2,862.73",$241.20,$225.37,$112.36,$70.43,$336.26,"$1,462.82",$64.59,$713.99,$8.21,$207.57,$513.41,"$1,306.36"
Illinois,Montgomery,2022,"11,201","$69,049","$54,789","$11,659.22","$2,491.36","$2,392.82",$98.55,"$2,794.39","$2,566.63",$227.75,$188.09,$93.36,$54.18,$285.99,"$1,228.69",$51.70,$648.01,$6.91,$199.59,$433.35,"$1,118.63"
Illinois,Morgan,2022,"13,440","$75,315","$59,384","$11,951.76","$2,566.33","$2,467.06",$99.27,"$2,814.84","$2,589.05",$225.79,$195.81,$96.11,$55.13,$292.06,"$1,248.50",$53.13,$649.24,$7.09,$199.60,$440.03,"$1,131.72"
Illinois,Moultrie,2022,"5,836","$86,073","$65,858","$11,885.55","$2,532.28","$2,434.50",$97.79,"$2,795.20","$2,566.05",$229.16,$191.98,$95.91,$52.46,$289.39,"$1,248.23",$52.27,$651.24,$6.95,$201.78,$438.73,"$1,133.59"
Illinois,Ogle,2022,"20,263","$80,757","$66,476","$12,160.72","$2,639.51","$2,536.49",$103.01,"$2,886.37","$2,655.07",$231.30,$195.23,$96.05,$59.06,$299.11,"$1,275.24",$54.65,$664.56,$7.18,$202.85,$450.55,"$1,166.87"
Illinois,Peoria,2022,"73,703","$84,307","$58,203","$11,663.71","$2,485.03","$2,391.65",$93.38,"$2,649.33","$2,441.05",$208.28,$175.12,$91.60,$51.80,$279.57,"$1,217.16",$50.11,$635.55,$6.55,$195.61,$424.18,"$1,116.78"
Illinois,Perry,2022,"8,066","$68,468","$59,362","$11,326.24","$2,428.61","$2,339.27",$89.34,"$2,746.51","$2,523.69",$222.83,$187.31,$92.43,$48.63,$279.37,"$1,218.28",$49.98,$640.46,$6.79,$200.18,$427.86,"$1,101.25"
Illinois,Piatt,2022,"6,834","$91,681","$75,335","$12,220.20","$2,531.77","$2,430.75",$101.02,"$2,810.55","$2,579.69",$230.86,$202.57,$97.36,$55.16,$294.31,"$1,280.79",$56.04,$655.09,$7.05,$201.22,$453.47,"$1,162.91"
Illinois,Pike,2022,"6,344","$69,953","$56,442","$11,706.92","$2,495.77","$2,397.83",$97.94,"$2,841.95","$2,605.77",$236.18,$197.46,$96.87,$51.85,$291.99,"$1,243.09",$51.59,$653.51,$7.06,$206.77,$441.36,"$1,126.38"
